agency,ministry
Accounting And Corporate Regulatory Authority,MOF
Attorney-General's Chambers,AGC
Auditor-General's Office,AGO
Agri-food and Veterinary Authority,MSE
Building and Construction Authority,MND
Civil Aviation Authority of Singapore,MOT
Competition and Consumer Commission of Singapore (CCCS),MTI
"Ministry of Culture, Community and Youth - Ministry Headquarter",MCCY
"Ministry of Culture, Community and Youth - National Youth Council",MCCY
Ministry of Social and Family Development - Early Childhood Development Agency,MSF
Ministry of Social and Family Development - Family Development Group,MSF
Ministry of Social and Family Development - Ministry Headquarter,MSF
Ministry of Social and Family Development - Rehabilitation and Protection,MSF
Council for Estate Agencies,MND
Ministry of Transport - Ministry Headquarter,MOT
Council for Private Education,MOE
Central Provident Fund Board,MOM
Centre for Public Project Management,MOF
Casino Regulatory Authority,MHA
Civil Service College,PMO
Ministry of Defence,MINDEF
Ministry of Defence 5,MINDEF
Defence Science and Technology Agency,MINDEF
Singapore Examinations and Assessment Board,MOE
Economic Development Board,MTI
Energy Market Authority of Singapore,MTI
Ministry of the Environment and Water Resources,MEWR
Ministry of Finance-Accountant-General's Department,MOF
Ministry of Finance - Singapore Customs,MOF
Ministry of Finance-Ministry Headquarter,MOF
Ministry of Finance - Vital,MOF
Ministry of Foreign Affairs,MFA
Housing and Development Board,MND
Ministry of Health-Ministry Headquarter,MOH
Ministry of Home Affairs-Ministry Headquarter,MHA
Health Promotion Board,MOH
Health Sciences Authority,MOH
Government Technology Agency (GovTech),PMO
Info-communications Media Development Authority,MCI
International Enterprise Singapore - Defunct,MTI
Assumption Pathway School,MOE
Methodist Girls' School (Secondary),MOE
Northlight School,MOE
Singapore Chinese Girls' School,MOE
Intellectual Property Office of Singapore,MINLAW
Inland Revenue Authority of Singapore,MOF
ISEAS - Yusof Ishak Institute,MOE
Istana,ISTANA
Ministry of Communications and Information,MCI
Institute of Technical Education,MOE
Jurong Town Corporation,MTI
Judiciary-State Courts,STATE COURTS
Judiciary-Supreme Court,SUPREME COURT
Ministry of Law-Ministry Headquarter,MINLAW
Land Transport Authority,MOT
Monetary Authority of Singapore,PMO
Ministry of Education,MOE
Ministry of Education - Schools,MOE
Ministry of Manpower-Ministry Headquarter,MOM
Ministry of Manpower-Information Systems & Technology Department,MOM
Ministry of Manpower - Foreign Manpower Management Division,MOM
Ministry of Manpower-Labour Relations Department,MOM
Ministry of Manpower - Occupational Safety & Health Division,MOM
Ministry of Manpower - Work Pass Division,MOM
Maritime and Port Authority of Singapore,MOT
Majlis Ugama Islam Singapura,MCCY
National Arts Council,MCCY
Ministry of National Development-Ministry Headquarter,MND
National Council of Social Service,MSF
National Environment Agency,MSE
National Heritage Board,MCCY
National Institute of Education,MOE
National Library Board,MCI
National Parks Board,MND
Ngee Ann Polytechnic,MOE
"Agency for Science, Technology and Research",MTI
Nanyang Technological University,MOE
National University of Singapore,MOE
Duke-NUS Medical School,MOE
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,MOE
Nanyang Polytechnic,MOE
Parliament,PARL
People's Association,MCCY
Productivity Fund Administration Board,PMO
Prime Minister's Office-Corrupt Practices Investigation Bureau,PMO
Prime Minister's Office-Elections Department,PMO
Prime Minister's Office-Ministry Headquarter,PMO
Prime Minister's Office - Strategy Group,PMO
Prime Minister's Office - National Research Foundation,PMO
Prime Minister's Office - National Security Co-ordination Secretariat,PMO
Prime Minister's Office-Public Service Division,PMO
Public Utilities Board,MSE
Raffles Girls' School (Secondary),MOE
Republic Polytechnic,MOE
Science Centre Board,MOE
Singapore Corporation of Rehabilitative Enterprises,MHA
Sentosa Development Corporation,MTI
Singapore Land Authority,MINLAW
Singapore Labour Foundation,MOM
Singapore Sports Council,MCCY
Singapore Polytechnic,MOE
SPRING Singapore - Defunct,MTI
SkillsFuture Singapore,MOE
"School of Science and Technology, Singapore",MOE
Singapore Tourism Board,MTI
Tote Board,MOF
Temasek Polytechnic,MOE
Ministry of Trade & Industry-Department of Statistics,MTI
Ministry of Trade & Industry-Ministry Headquarter,MTI
Urban Redevelopment Authority,MND
Workforce Singapore,MOM
Enterprise Singapore,MTI
Prime Minister's Office - Smart Nation and Digital Government Office,PMO
Public Transport Council,MOT
Singapore Medical Council,MOH
Cabinet Office,CABINET
Yellow Ribbon Singapore,MHA
Singapore Food Agency,MSE
Ministry of Sustainability and the Environment,MSE
Home Team Science and Technology Agency,MHA
Ministry of Home Affairs - Ministry Headquarter 1,MHA
Professional Engineers Board,MND
